,,,,,,,,
f,16.49MHz,,,,,,,
,,,,,,,,
,,,,,,,,
I (mA),Q,P,1/I,,,,,
132,11,37,0.00757575757575758,,,,,
160,9,37,0.00625,,,449.360220758358,132,59315.5491401032
188,7.5,37,0.00531914893617021,,,449.360220758358,160,71897.6353213372
215,6.5,37,0.00465116279069767,,,449.360220758358,188,84479.7215025713
240,6,37,0.00416666666666667,,,449.360220758358,215,96612.4474630469
266,5.5,37,0.0037593984962406,,,449.360220758358,240,107846.452982006
291,5,37,0.00343642611683849,,,449.360220758358,266,119529.818721723
317,4.5,37,0.00315457413249211,,,449.360220758358,291,130763.824240682
,,,,,,449.360220758358,317,142447.189980399
,,,,,,,,
,15.45  MHz,,,,,,,
I (mA),Q,P,1/I,,,,,
131,10,37,0.00763358778625954,,,,,
158,8.5,37,0.00632911392405063,,,,,
185,7,37,0.00540540540540541,,,,,
212,6.5,37,0.00471698113207547,,,,,
239,5.5,37,0.00418410041841004,,,,,
264,5,37,0.00378787878787879,,,,,
290,4.5,37,0.00344827586206897,,,,,
314,4,37,0.00318471337579618,,,,,
,,,,,,,,
,,,,,,,,
,14.22 MHz,,,,,,,
I (mA),Q,P,1/I,,,,,
131,9.5,37,0.00763358778625954,,,,,
158,7.5,37,0.00632911392405063,,,,,
185,6.5,37,0.00540540540540541,,,,,
212,6,37,0.00471698113207547,,,,,
238,5.5,37,0.00420168067226891,,,,,
265,5,37,0.00377358490566038,,,,,
291,4.5,37,0.00343642611683849,,,,,
316,4,37,0.00316455696202532,,,,,
,,,,,,,,
,,,,,,,,
,13.52 MHz,,,,,,,
I (mA),Q,P,1/I,,,,,
131,9,37,0.00763358778625954,,,,,
159,7.5,37,0.00628930817610063,,,,,
186,6.5,37,0.00537634408602151,,,,,
213,5.5,37,0.00469483568075117,,,,,
239,5,37,0.00418410041841004,,,,,
265,4.5,37,0.00377358490566038,,,,,
289,4,37,0.00346020761245675,,,,,
315,3.5,37,0.00317460317460317,,,,,
,,,,,,,,
,,,,,,,,
,12.69 MHz,,,,,,,
I (mA),Q,P,1/I,,,,,
131,8.5,37,0.00763358778625954,,,,,
158,7,37,0.00632911392405063,,,,,
185,6,37,0.00540540540540541,,,,,
212,5.5,37,0.00471698113207547,,,,,
238,4.5,37,0.00420168067226891,,,,,
264,4,37,0.00378787878787879,,,,,
289,3.5,37,0.00346020761245675,,,,,
314,3.5,37,0.00318471337579618,,,,,
